State,Residence_Type,Gender,Attendance type,Level of education,Attendance ratio (%)
Andhra Pradesh,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,91.9
Andhra Pradesh,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,84.5
Andhra Pradesh,Rural,Person,Gross Attendance Ratio,Primary Level,99.1
Andhra Pradesh,Rural,Person,Net Attendance Ratio,Primary Level,87.6
Andhra Pradesh,Rural,Person,Gross Attendance Ratio,Secondary Level,112.3
Andhra Pradesh,Rural,Person,Net Attendance Ratio,Secondary Level,72.2
Andhra Pradesh,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,80.9
Andhra Pradesh,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,63.1
Andhra Pradesh,Total,Female,Gross Attendance Ratio,Higher Secondary Level,67.2
Andhra Pradesh,Total,Female,Net Attendance Ratio,Higher Secondary Level,51.8
Andhra Pradesh,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,23.3
Andhra Pradesh,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,19.8
Andhra Pradesh,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,88.3
Andhra Pradesh,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,82.5
Andhra Pradesh,Total,Female,Gross Attendance Ratio,Primary Level,97.7
Andhra Pradesh,Total,Female,Net Attendance Ratio,Primary Level,87.1
Andhra Pradesh,Total,Female,Gross Attendance Ratio,Secondary Level,123.1
Andhra Pradesh,Total,Female,Net Attendance Ratio,Secondary Level,77.1
Andhra Pradesh,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,76.2
Andhra Pradesh,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,64.0
Andhra Pradesh,Total,Male,Gross Attendance Ratio,Higher Secondary Level,78.5
Andhra Pradesh,Total,Male,Net Attendance Ratio,Higher Secondary Level,51.8
Andhra Pradesh,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,28.8
Andhra Pradesh,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,25.0
Andhra Pradesh,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,95.7
Andhra Pradesh,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,86.4
Andhra Pradesh,Total,Male,Gross Attendance Ratio,Primary Level,100.5
Andhra Pradesh,Total,Male,Net Attendance Ratio,Primary Level,86.0
Andhra Pradesh,Total,Male,Gross Attendance Ratio,Secondary Level,104.7
Andhra Pradesh,Total,Male,Net Attendance Ratio,Secondary Level,64.0
Andhra Pradesh,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,88.0
Andhra Pradesh,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,65.2
Andhra Pradesh,Total,Person,Gross Attendance Ratio,Higher Secondary Level,73.0
Andhra Pradesh,Total,Person,Net Attendance Ratio,Higher Secondary Level,51.8
Andhra Pradesh,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,26.1
Andhra Pradesh,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,22.4
Andhra Pradesh,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,92.2
Andhra Pradesh,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,84.5
Andhra Pradesh,Total,Person,Gross Attendance Ratio,Primary Level,99.3
Andhra Pradesh,Total,Person,Net Attendance Ratio,Primary Level,86.5
Andhra Pradesh,Total,Person,Gross Attendance Ratio,Secondary Level,114.1
Andhra Pradesh,Total,Person,Net Attendance Ratio,Secondary Level,70.7
Andhra Pradesh,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,81.9
Andhra Pradesh,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,64.6
Andhra Pradesh,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,76.9
Andhra Pradesh,Urban,Female,Net Attendance Ratio,Higher Secondary Level,49.8
Andhra Pradesh,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,40.1
Andhra Pradesh,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,34.6
Andhra Pradesh,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,88.0
Andhra Pradesh,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,80.3
Andhra Pradesh,Urban,Female,Gross Attendance Ratio,Primary Level,98.5
Andhra Pradesh,Urban,Female,Net Attendance Ratio,Primary Level,82.6
Andhra Pradesh,Urban,Female,Gross Attendance Ratio,Secondary Level,146.9
Andhra Pradesh,Urban,Female,Net Attendance Ratio,Secondary Level,79.0
Andhra Pradesh,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,76.4
Andhra Pradesh,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,64.2
Andhra Pradesh,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,89.2
Andhra Pradesh,Urban,Male,Net Attendance Ratio,Higher Secondary Level,61.0
Andhra Pradesh,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,40.8
Andhra Pradesh,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,33.7
Andhra Pradesh,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.0
Andhra Pradesh,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.4
Andhra Pradesh,Urban,Male,Gross Attendance Ratio,Primary Level,100.4
Andhra Pradesh,Urban,Male,Net Attendance Ratio,Primary Level,85.5
Andhra Pradesh,Urban,Male,Gross Attendance Ratio,Secondary Level,95.5
Andhra Pradesh,Urban,Male,Net Attendance Ratio,Secondary Level,57.8
Andhra Pradesh,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,91.9
Andhra Pradesh,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,70.9
Andhra Pradesh,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,83.9
Andhra Pradesh,Urban,Person,Net Attendance Ratio,Higher Secondary Level,56.2
Andhra Pradesh,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,40.4
Andhra Pradesh,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,34.2
Andhra Pradesh,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,92.7
Andhra Pradesh,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,84.5
Andhra Pradesh,Urban,Person,Gross Attendance Ratio,Primary Level,99.5
Andhra Pradesh,Urban,Person,Net Attendance Ratio,Primary Level,84.2
Andhra Pradesh,Urban,Person,Gross Attendance Ratio,Secondary Level,118.4
Andhra Pradesh,Urban,Person,Net Attendance Ratio,Secondary Level,67.2
Andhra Pradesh,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,83.8
Andhra Pradesh,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,67.4
Karnataka,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,67.5
Karnataka,Rural,Female,Net Attendance Ratio,Higher Secondary Level,53.7
Karnataka,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,12.7
Karnataka,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,12.0
Karnataka,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.7
Karnataka,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.4
Karnataka,Rural,Female,Gross Attendance Ratio,Primary Level,98.7
Karnataka,Rural,Female,Net Attendance Ratio,Primary Level,93.0
Karnataka,Rural,Female,Gross Attendance Ratio,Secondary Level,94.1
Karnataka,Rural,Female,Net Attendance Ratio,Secondary Level,75.0
Karnataka,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,92.9
Karnataka,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,84.1
Karnataka,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,68.9
Karnataka,Rural,Male,Net Attendance Ratio,Higher Secondary Level,55.6
Karnataka,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,20.0
Karnataka,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,18.7
Karnataka,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.9
Karnataka,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,96.5
Karnataka,Rural,Male,Gross Attendance Ratio,Primary Level,107.3
Karnataka,Rural,Male,Net Attendance Ratio,Primary Level,96.7
Karnataka,Rural,Male,Gross Attendance Ratio,Secondary Level,86.7
Karnataka,Rural,Male,Net Attendance Ratio,Secondary Level,77.6
Karnataka,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,89.6
Karnataka,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,81.0
Karnataka,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,68.3
Karnataka,Rural,Person,Net Attendance Ratio,Higher Secondary Level,54.8
Karnataka,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,16.9
Karnataka,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,15.9
Karnataka,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.2
Karnataka,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.8
Karnataka,Rural,Person,Gross Attendance Ratio,Primary Level,103.6
Karnataka,Rural,Person,Net Attendance Ratio,Primary Level,95.2
Karnataka,Rural,Person,Gross Attendance Ratio,Secondary Level,89.6
Karnataka,Rural,Person,Net Attendance Ratio,Secondary Level,76.6
Karnataka,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,90.9
Karnataka,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,82.3
Karnataka,Total,Female,Gross Attendance Ratio,Higher Secondary Level,77.8
Karnataka,Total,Female,Net Attendance Ratio,Higher Secondary Level,59.0
Karnataka,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,19.6
Karnataka,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,18.4
Karnataka,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.0
Karnataka,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.0
Karnataka,Total,Female,Gross Attendance Ratio,Primary Level,100.8
Karnataka,Total,Female,Net Attendance Ratio,Primary Level,93.9
Karnataka,Total,Female,Gross Attendance Ratio,Secondary Level,94.0
Karnataka,Total,Female,Net Attendance Ratio,Secondary Level,73.4
Karnataka,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,92.5
Karnataka,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,82.0
Karnataka,Total,Male,Gross Attendance Ratio,Higher Secondary Level,69.8
Karnataka,Total,Male,Net Attendance Ratio,Higher Secondary Level,54.5
Karnataka,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,23.4
Karnataka,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,21.6
Karnataka,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.3
Karnataka,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,95.7
Karnataka,Total,Male,Gross Attendance Ratio,Primary Level,107.3
Karnataka,Total,Male,Net Attendance Ratio,Primary Level,96.4
Karnataka,Total,Male,Gross Attendance Ratio,Secondary Level,91.1
Karnataka,Total,Male,Net Attendance Ratio,Secondary Level,77.3
Karnataka,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,88.4
Karnataka,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,79.8
Karnataka,Total,Person,Gross Attendance Ratio,Higher Secondary Level,73.4
Karnataka,Total,Person,Net Attendance Ratio,Higher Secondary Level,56.5
Karnataka,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,21.7
Karnataka,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,20.2
Karnataka,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.3
Karnataka,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.5
Karnataka,Total,Person,Gross Attendance Ratio,Primary Level,104.4
Karnataka,Total,Person,Net Attendance Ratio,Primary Level,95.3
Karnataka,Total,Person,Gross Attendance Ratio,Secondary Level,92.3
Karnataka,Total,Person,Net Attendance Ratio,Secondary Level,75.8
Karnataka,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,90.1
Karnataka,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,80.7
Karnataka,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,94.7
Karnataka,Urban,Female,Net Attendance Ratio,Higher Secondary Level,67.8
Karnataka,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,30.5
Karnataka,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,28.5
Karnataka,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.2
Karnataka,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.0
Karnataka,Urban,Female,Gross Attendance Ratio,Primary Level,104.6
Karnataka,Urban,Female,Net Attendance Ratio,Primary Level,95.3
Karnataka,Urban,Female,Gross Attendance Ratio,Secondary Level,93.9
Karnataka,Urban,Female,Net Attendance Ratio,Secondary Level,70.0
Karnataka,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,91.8
Karnataka,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,78.4
Karnataka,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,71.3
Karnataka,Urban,Male,Net Attendance Ratio,Higher Secondary Level,52.3
Karnataka,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,29.7
Karnataka,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,27.1
Karnataka,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.7
Karnataka,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.8
Karnataka,Urban,Male,Gross Attendance Ratio,Primary Level,107.3
Karnataka,Urban,Male,Net Attendance Ratio,Primary Level,95.7
Karnataka,Urban,Male,Gross Attendance Ratio,Secondary Level,102.5
Karnataka,Urban,Male,Net Attendance Ratio,Secondary Level,76.4
Karnataka,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,86.2
Karnataka,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,77.4
Karnataka,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,82.2
Karnataka,Urban,Person,Net Attendance Ratio,Higher Secondary Level,59.5
Karnataka,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,30.0
Karnataka,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,27.8
Karnataka,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.4
Karnataka,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.9
Karnataka,Urban,Person,Gross Attendance Ratio,Primary Level,106.0
Karnataka,Urban,Person,Net Attendance Ratio,Primary Level,95.5
Karnataka,Urban,Person,Gross Attendance Ratio,Secondary Level,98.9
Karnataka,Urban,Person,Net Attendance Ratio,Secondary Level,73.7
Karnataka,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,88.7
Karnataka,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,77.8
Kerala,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,110.2
Kerala,Rural,Female,Net Attendance Ratio,Higher Secondary Level,82.9
Kerala,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,37.9
Kerala,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,35.3
Kerala,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.8
Kerala,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.2
Kerala,Rural,Female,Gross Attendance Ratio,Primary Level,101.3
Kerala,Rural,Female,Net Attendance Ratio,Primary Level,90.9
Kerala,Rural,Female,Gross Attendance Ratio,Secondary Level,98.9
Kerala,Rural,Female,Net Attendance Ratio,Secondary Level,73.7
Kerala,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,92.8
Kerala,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,83.8
Kerala,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,98.2
Kerala,Rural,Male,Net Attendance Ratio,Higher Secondary Level,78.8
Kerala,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,37.3
Kerala,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,32.4
Kerala,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.3
Kerala,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.0
Kerala,Rural,Male,Gross Attendance Ratio,Primary Level,101.4
Kerala,Rural,Male,Net Attendance Ratio,Primary Level,94.4
Kerala,Rural,Male,Gross Attendance Ratio,Secondary Level,95.7
Kerala,Rural,Male,Net Attendance Ratio,Secondary Level,78.7
Kerala,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,96.7
Kerala,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,86.4
Kerala,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,103.0
Kerala,Rural,Person,Net Attendance Ratio,Higher Secondary Level,80.4
Kerala,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,37.6
Kerala,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,33.9
Kerala,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.6
Kerala,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.8
Kerala,Rural,Person,Gross Attendance Ratio,Primary Level,101.3
Kerala,Rural,Person,Net Attendance Ratio,Primary Level,92.7
Kerala,Rural,Person,Gross Attendance Ratio,Secondary Level,96.9
Kerala,Rural,Person,Net Attendance Ratio,Secondary Level,76.8
Kerala,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,95.0
Kerala,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,85.3
Kerala,Total,Female,Gross Attendance Ratio,Higher Secondary Level,99.2
Kerala,Total,Female,Net Attendance Ratio,Higher Secondary Level,78.5
Kerala,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,40.7
Kerala,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,37.0
Kerala,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.2
Kerala,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.9
Kerala,Total,Female,Gross Attendance Ratio,Primary Level,102.5
Kerala,Total,Female,Net Attendance Ratio,Primary Level,93.4
Kerala,Total,Female,Gross Attendance Ratio,Secondary Level,96.1
Kerala,Total,Female,Net Attendance Ratio,Secondary Level,74.3
Kerala,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,97.0
Kerala,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,85.8
Kerala,Total,Male,Gross Attendance Ratio,Higher Secondary Level,100.4
Kerala,Total,Male,Net Attendance Ratio,Higher Secondary Level,78.6
Kerala,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,34.6
Kerala,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,29.5
Kerala,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.5
Kerala,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.4
Kerala,Total,Male,Gross Attendance Ratio,Primary Level,104.7
Kerala,Total,Male,Net Attendance Ratio,Primary Level,95.5
Kerala,Total,Male,Gross Attendance Ratio,Secondary Level,98.0
Kerala,Total,Male,Net Attendance Ratio,Secondary Level,78.6
Kerala,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,97.5
Kerala,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,86.7
Kerala,Total,Person,Gross Attendance Ratio,Higher Secondary Level,99.9
Kerala,Total,Person,Net Attendance Ratio,Higher Secondary Level,78.5
Kerala,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,37.6
Kerala,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,33.2
Kerala,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.9
Kerala,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.6
Kerala,Total,Person,Gross Attendance Ratio,Primary Level,103.6
Kerala,Total,Person,Net Attendance Ratio,Primary Level,94.4
Kerala,Total,Person,Gross Attendance Ratio,Secondary Level,97.3
Kerala,Total,Person,Net Attendance Ratio,Secondary Level,76.9
Kerala,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,97.2
Kerala,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,86.3
Kerala,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,88.8
Kerala,Urban,Female,Net Attendance Ratio,Higher Secondary Level,74.2
Kerala,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,44.0
Kerala,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,39.0
Kerala,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,102.9
Kerala,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,96.9
Kerala,Urban,Female,Gross Attendance Ratio,Primary Level,103.8
Kerala,Urban,Female,Net Attendance Ratio,Primary Level,96.1
Kerala,Urban,Female,Gross Attendance Ratio,Secondary Level,92.3
Kerala,Urban,Female,Net Attendance Ratio,Secondary Level,75.0
Kerala,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,101.7
Kerala,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,88.0
Kerala,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,103.6
Kerala,Urban,Male,Net Attendance Ratio,Higher Secondary Level,78.4
Kerala,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,31.6
Kerala,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,26.2
Kerala,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,104.5
Kerala,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,94.9
Kerala,Urban,Male,Gross Attendance Ratio,Primary Level,108.7
Kerala,Urban,Male,Net Attendance Ratio,Primary Level,96.8
Kerala,Urban,Male,Gross Attendance Ratio,Secondary Level,101.4
Kerala,Urban,Male,Net Attendance Ratio,Secondary Level,78.4
Kerala,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,98.5
Kerala,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,87.1
Kerala,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,96.1
Kerala,Urban,Person,Net Attendance Ratio,Higher Secondary Level,76.3
Kerala,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,37.6
Kerala,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,32.4
Kerala,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,103.7
Kerala,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,95.9
Kerala,Urban,Person,Gross Attendance Ratio,Primary Level,106.3
Kerala,Urban,Person,Net Attendance Ratio,Primary Level,96.4
Kerala,Urban,Person,Gross Attendance Ratio,Secondary Level,97.7
Kerala,Urban,Person,Net Attendance Ratio,Secondary Level,77.0
Kerala,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,100.1
Kerala,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,87.5
Tamil Nadu,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,98.8
Tamil Nadu,Rural,Female,Net Attendance Ratio,Higher Secondary Level,63.2
Tamil Nadu,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,32.5
Tamil Nadu,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,25.7
Tamil Nadu,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.6
Tamil Nadu,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.1
Tamil Nadu,Rural,Female,Gross Attendance Ratio,Primary Level,99.9
Tamil Nadu,Rural,Female,Net Attendance Ratio,Primary Level,88.7
Tamil Nadu,Rural,Female,Gross Attendance Ratio,Secondary Level,98.2
Tamil Nadu,Rural,Female,Net Attendance Ratio,Secondary Level,69.1
Tamil Nadu,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,91.7
Tamil Nadu,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,75.4
Tamil Nadu,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,81.0
Tamil Nadu,Rural,Male,Net Attendance Ratio,Higher Secondary Level,61.2
Tamil Nadu,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,31.9
Tamil Nadu,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,27.5
Tamil Nadu,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.5
Tamil Nadu,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.7
Tamil Nadu,Rural,Male,Gross Attendance Ratio,Primary Level,98.8
Tamil Nadu,Rural,Male,Net Attendance Ratio,Primary Level,88.6
Tamil Nadu,Rural,Male,Gross Attendance Ratio,Secondary Level,89.7
Tamil Nadu,Rural,Male,Net Attendance Ratio,Secondary Level,67.8
Tamil Nadu,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,95.7
Tamil Nadu,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,81.0
Tamil Nadu,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,88.1
Tamil Nadu,Rural,Person,Net Attendance Ratio,Higher Secondary Level,62.0
Tamil Nadu,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,32.2
Tamil Nadu,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,26.6
Tamil Nadu,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.1
Tamil Nadu,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.9
Tamil Nadu,Rural,Person,Gross Attendance Ratio,Primary Level,99.4
Tamil Nadu,Rural,Person,Net Attendance Ratio,Primary Level,88.7
Tamil Nadu,Rural,Person,Gross Attendance Ratio,Secondary Level,93.8
Tamil Nadu,Rural,Person,Net Attendance Ratio,Secondary Level,68.4
Tamil Nadu,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,93.8
Tamil Nadu,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,78.4
Tamil Nadu,Total,Female,Gross Attendance Ratio,Higher Secondary Level,101.8
Tamil Nadu,Total,Female,Net Attendance Ratio,Higher Secondary Level,65.2
Tamil Nadu,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,32.2
Tamil Nadu,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,27.2
Tamil Nadu,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.4
Tamil Nadu,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.0
Tamil Nadu,Total,Female,Gross Attendance Ratio,Primary Level,107.9
Tamil Nadu,Total,Female,Net Attendance Ratio,Primary Level,91.3
Tamil Nadu,Total,Female,Gross Attendance Ratio,Secondary Level,92.0
Tamil Nadu,Total,Female,Net Attendance Ratio,Secondary Level,68.0
Tamil Nadu,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,92.6
Tamil Nadu,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,81.7
Tamil Nadu,Total,Male,Gross Attendance Ratio,Higher Secondary Level,84.5
Tamil Nadu,Total,Male,Net Attendance Ratio,Higher Secondary Level,59.2
Tamil Nadu,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,39.0
Tamil Nadu,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,34.0
