State,Residence_Type,Gender,Course type,Institution type,Distribution of students by institution type and course type (%),Sample number of students under survey by institution type and course type
Puducherry,Total,Persons,Secondary and Higher Secondary,Government,17.2,672.0
Puducherry,Total,Persons,Secondary and Higher Secondary,Private aided,3.7,672.0
Puducherry,Total,Persons,Secondary and Higher Secondary,Private Unaided,3.3,672.0
Puducherry,Total,Persons,Upper Primary,Government,13.1,672.0
Puducherry,Total,Persons,Upper Primary,Private aided,4.9,672.0
Puducherry,Total,Persons,Upper Primary,Private Unaided,2.6,672.0
Puducherry,Urban,Female,Diploma/Certificate below graduate level,Government,0.2,232.0
Puducherry,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.4,232.0
Puducherry,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.4,232.0
Puducherry,Urban,Female,Graduate and above level including diploma,Government,2.0,232.0
Puducherry,Urban,Female,Graduate and above level including diploma,Private aided,11.3,232.0
Puducherry,Urban,Female,Graduate and above level including diploma,Private Unaided,5.5,232.0
Puducherry,Urban,Female,Pre-Primary,Government,0.0,232.0
Puducherry,Urban,Female,Pre-Primary,Private aided,1.3,232.0
Puducherry,Urban,Female,Pre-Primary,Private Unaided,3.3,232.0
Puducherry,Urban,Female,Primary,Government,10.0,232.0
Puducherry,Urban,Female,Primary,Private aided,16.3,232.0
Puducherry,Urban,Female,Primary,Private Unaided,8.6,232.0
Puducherry,Urban,Female,Secondary and Higher Secondary,Government,10.1,232.0
Puducherry,Urban,Female,Secondary and Higher Secondary,Private aided,11.8,232.0
Puducherry,Urban,Female,Secondary and Higher Secondary,Private Unaided,2.5,232.0
Puducherry,Urban,Female,Upper Primary,Government,8.4,232.0
Puducherry,Urban,Female,Upper Primary,Private aided,4.7,232.0
Puducherry,Urban,Female,Upper Primary,Private Unaided,3.2,232.0
Puducherry,Urban,Male,Diploma/Certificate below graduate level,Government,1.7,289.0
Puducherry,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.6,289.0
Puducherry,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,0.2,289.0
Puducherry,Urban,Male,Graduate and above level including diploma,Government,2.6,289.0
Puducherry,Urban,Male,Graduate and above level including diploma,Private aided,4.2,289.0
Puducherry,Urban,Male,Graduate and above level including diploma,Private Unaided,5.5,289.0
Puducherry,Urban,Male,Pre-Primary,Government,0.3,289.0
Puducherry,Urban,Male,Pre-Primary,Private aided,2.5,289.0
Puducherry,Urban,Male,Pre-Primary,Private Unaided,2.9,289.0
Puducherry,Urban,Male,Primary,Government,10.8,289.0
Puducherry,Urban,Male,Primary,Private aided,19.5,289.0
Puducherry,Urban,Male,Primary,Private Unaided,8.9,289.0
Puducherry,Urban,Male,Secondary and Higher Secondary,Government,11.9,289.0
Puducherry,Urban,Male,Secondary and Higher Secondary,Private aided,1.7,289.0
Puducherry,Urban,Male,Secondary and Higher Secondary,Private Unaided,6.7,289.0
Puducherry,Urban,Male,Upper Primary,Government,8.2,289.0
Puducherry,Urban,Male,Upper Primary,Private aided,6.6,289.0
Puducherry,Urban,Male,Upper Primary,Private Unaided,5.1,289.0
Puducherry,Urban,Persons,Diploma/Certificate below graduate level,Government,1.1,521.0
Puducherry,Urban,Persons,Diploma/Certificate below graduate level,Private aided,0.5,521.0
Puducherry,Urban,Persons,Diploma/Certificate below graduate level,Private Unaided,0.3,521.0
Puducherry,Urban,Persons,Graduate and above level including diploma,Government,2.4,521.0
Puducherry,Urban,Persons,Graduate and above level including diploma,Private aided,7.2,521.0
Puducherry,Urban,Persons,Graduate and above level including diploma,Private Unaided,5.5,521.0
Puducherry,Urban,Persons,Pre-Primary,Government,0.2,521.0
Puducherry,Urban,Persons,Pre-Primary,Private aided,2.0,521.0
Puducherry,Urban,Persons,Pre-Primary,Private Unaided,3.0,521.0
Puducherry,Urban,Persons,Primary,Government,10.5,521.0
Puducherry,Urban,Persons,Primary,Private aided,18.2,521.0
Puducherry,Urban,Persons,Primary,Private Unaided,8.8,521.0
Puducherry,Urban,Persons,Secondary and Higher Secondary,Government,11.1,521.0
Puducherry,Urban,Persons,Secondary and Higher Secondary,Private aided,5.9,521.0
Puducherry,Urban,Persons,Secondary and Higher Secondary,Private Unaided,5.0,521.0
Puducherry,Urban,Persons,Upper Primary,Government,8.3,521.0
Puducherry,Urban,Persons,Upper Primary,Private aided,5.8,521.0
Puducherry,Urban,Persons,Upper Primary,Private Unaided,4.3,521.0
Andaman And Nicobar Islands,Rural,Female,Diploma/Certificate below graduate level,Government,0.2,170.0
Andaman And Nicobar Islands,Rural,Female,Diploma/Certificate below graduate level,Private aided,0.0,170.0
Andaman And Nicobar Islands,Rural,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,170.0
Andaman And Nicobar Islands,Rural,Female,Graduate and above level including diploma,Government,6.5,170.0
Andaman And Nicobar Islands,Rural,Female,Graduate and above level including diploma,Private aided,0.0,170.0
Andaman And Nicobar Islands,Rural,Female,Graduate and above level including diploma,Private Unaided,0.0,170.0
Andaman And Nicobar Islands,Rural,Female,Pre-Primary,Government,2.8,170.0
Andaman And Nicobar Islands,Rural,Female,Pre-Primary,Private aided,0.0,170.0
Andaman And Nicobar Islands,Rural,Female,Pre-Primary,Private Unaided,3.8,170.0
Andaman And Nicobar Islands,Rural,Female,Primary,Government,32.1,170.0
Andaman And Nicobar Islands,Rural,Female,Primary,Private aided,2.0,170.0
Andaman And Nicobar Islands,Rural,Female,Primary,Private Unaided,7.5,170.0
Andaman And Nicobar Islands,Rural,Female,Secondary and Higher Secondary,Government,24.4,170.0
Andaman And Nicobar Islands,Rural,Female,Secondary and Higher Secondary,Private aided,0.2,170.0
Andaman And Nicobar Islands,Rural,Female,Secondary and Higher Secondary,Private Unaided,2.1,170.0
Andaman And Nicobar Islands,Rural,Female,Upper Primary,Government,14.9,170.0
Andaman And Nicobar Islands,Rural,Female,Upper Primary,Private aided,0.3,170.0
Andaman And Nicobar Islands,Rural,Female,Upper Primary,Private Unaided,3.2,170.0
Andaman And Nicobar Islands,Rural,Male,Diploma/Certificate below graduate level,Government,0.5,167.0
Andaman And Nicobar Islands,Rural,Male,Diploma/Certificate below graduate level,Private aided,0.0,167.0
Andaman And Nicobar Islands,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,0.0,167.0
Andaman And Nicobar Islands,Rural,Male,Graduate and above level including diploma,Government,5.2,167.0
Andaman And Nicobar Islands,Rural,Male,Graduate and above level including diploma,Private aided,0.0,167.0
Andaman And Nicobar Islands,Rural,Male,Graduate and above level including diploma,Private Unaided,0.0,167.0
Andaman And Nicobar Islands,Rural,Male,Pre-Primary,Government,3.2,167.0
Andaman And Nicobar Islands,Rural,Male,Pre-Primary,Private aided,0.0,167.0
Andaman And Nicobar Islands,Rural,Male,Pre-Primary,Private Unaided,4.5,167.0
Andaman And Nicobar Islands,Rural,Male,Primary,Government,35.2,167.0
Andaman And Nicobar Islands,Rural,Male,Primary,Private aided,0.0,167.0
Andaman And Nicobar Islands,Rural,Male,Primary,Private Unaided,5.5,167.0
Andaman And Nicobar Islands,Rural,Male,Secondary and Higher Secondary,Government,24.9,167.0
Andaman And Nicobar Islands,Rural,Male,Secondary and Higher Secondary,Private aided,3.7,167.0
Andaman And Nicobar Islands,Rural,Male,Secondary and Higher Secondary,Private Unaided,2.6,167.0
Andaman And Nicobar Islands,Rural,Male,Upper Primary,Government,13.9,167.0
Andaman And Nicobar Islands,Rural,Male,Upper Primary,Private aided,0.2,167.0
Andaman And Nicobar Islands,Rural,Male,Upper Primary,Private Unaided,0.7,167.0
Andaman And Nicobar Islands,Rural,Persons,Diploma/Certificate below graduate level,Government,0.4,337.0
Andaman And Nicobar Islands,Rural,Persons,Diploma/Certificate below graduate level,Private aided,0.0,337.0
Andaman And Nicobar Islands,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,0.0,337.0
Andaman And Nicobar Islands,Rural,Persons,Graduate and above level including diploma,Government,5.9,337.0
Andaman And Nicobar Islands,Rural,Persons,Graduate and above level including diploma,Private aided,0.0,337.0
Andaman And Nicobar Islands,Rural,Persons,Graduate and above level including diploma,Private Unaided,0.0,337.0
Andaman And Nicobar Islands,Rural,Persons,Pre-Primary,Government,3.0,337.0
Andaman And Nicobar Islands,Rural,Persons,Pre-Primary,Private aided,0.0,337.0
Andaman And Nicobar Islands,Rural,Persons,Pre-Primary,Private Unaided,4.1,337.0
Andaman And Nicobar Islands,Rural,Persons,Primary,Government,33.6,337.0
Andaman And Nicobar Islands,Rural,Persons,Primary,Private aided,1.0,337.0
Andaman And Nicobar Islands,Rural,Persons,Primary,Private Unaided,6.6,337.0
Andaman And Nicobar Islands,Rural,Persons,Secondary and Higher Secondary,Government,24.6,337.0
Andaman And Nicobar Islands,Rural,Persons,Secondary and Higher Secondary,Private aided,1.9,337.0
Andaman And Nicobar Islands,Rural,Persons,Secondary and Higher Secondary,Private Unaided,2.3,337.0
Andaman And Nicobar Islands,Rural,Persons,Upper Primary,Government,14.4,337.0
Andaman And Nicobar Islands,Rural,Persons,Upper Primary,Private aided,0.3,337.0
Andaman And Nicobar Islands,Rural,Persons,Upper Primary,Private Unaided,2.0,337.0
Andaman And Nicobar Islands,Total,Female,Diploma/Certificate below graduate level,Government,0.2,320.0
Andaman And Nicobar Islands,Total,Female,Diploma/Certificate below graduate level,Private aided,0.0,320.0
Andaman And Nicobar Islands,Total,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,320.0
Andaman And Nicobar Islands,Total,Female,Graduate and above level including diploma,Government,15.1,320.0
Andaman And Nicobar Islands,Total,Female,Graduate and above level including diploma,Private aided,0.0,320.0
Andaman And Nicobar Islands,Total,Female,Graduate and above level including diploma,Private Unaided,0.0,320.0
Andaman And Nicobar Islands,Total,Female,Pre-Primary,Government,2.1,320.0
Andaman And Nicobar Islands,Total,Female,Pre-Primary,Private aided,0.0,320.0
Andaman And Nicobar Islands,Total,Female,Pre-Primary,Private Unaided,4.4,320.0
Andaman And Nicobar Islands,Total,Female,Primary,Government,23.3,320.0
Andaman And Nicobar Islands,Total,Female,Primary,Private aided,5.6,320.0
Andaman And Nicobar Islands,Total,Female,Primary,Private Unaided,7.2,320.0
Andaman And Nicobar Islands,Total,Female,Secondary and Higher Secondary,Government,20.4,320.0
Andaman And Nicobar Islands,Total,Female,Secondary and Higher Secondary,Private aided,1.6,320.0
Andaman And Nicobar Islands,Total,Female,Secondary and Higher Secondary,Private Unaided,2.2,320.0
Andaman And Nicobar Islands,Total,Female,Upper Primary,Government,13.9,320.0
Andaman And Nicobar Islands,Total,Female,Upper Primary,Private aided,0.3,320.0
Andaman And Nicobar Islands,Total,Female,Upper Primary,Private Unaided,3.7,320.0
Andaman And Nicobar Islands,Total,Male,Diploma/Certificate below graduate level,Government,1.2,347.0
Andaman And Nicobar Islands,Total,Male,Diploma/Certificate below graduate level,Private aided,0.0,347.0
Andaman And Nicobar Islands,Total,Male,Diploma/Certificate below graduate level,Private Unaided,0.1,347.0
Andaman And Nicobar Islands,Total,Male,Graduate and above level including diploma,Government,11.5,347.0
Andaman And Nicobar Islands,Total,Male,Graduate and above level including diploma,Private aided,0.0,347.0
Andaman And Nicobar Islands,Total,Male,Graduate and above level including diploma,Private Unaided,0.0,347.0
Andaman And Nicobar Islands,Total,Male,Pre-Primary,Government,1.7,347.0
Andaman And Nicobar Islands,Total,Male,Pre-Primary,Private aided,0.7,347.0
Andaman And Nicobar Islands,Total,Male,Pre-Primary,Private Unaided,6.6,347.0
Andaman And Nicobar Islands,Total,Male,Primary,Government,26.6,347.0
Andaman And Nicobar Islands,Total,Male,Primary,Private aided,3.5,347.0
Andaman And Nicobar Islands,Total,Male,Primary,Private Unaided,7.2,347.0
Andaman And Nicobar Islands,Total,Male,Secondary and Higher Secondary,Government,18.7,347.0
Andaman And Nicobar Islands,Total,Male,Secondary and Higher Secondary,Private aided,2.3,347.0
Andaman And Nicobar Islands,Total,Male,Secondary and Higher Secondary,Private Unaided,3.5,347.0
Andaman And Nicobar Islands,Total,Male,Upper Primary,Government,10.9,347.0
Andaman And Nicobar Islands,Total,Male,Upper Primary,Private aided,3.1,347.0
Andaman And Nicobar Islands,Total,Male,Upper Primary,Private Unaided,2.3,347.0
Andaman And Nicobar Islands,Total,Persons,Diploma/Certificate below graduate level,Government,0.7,667.0
Andaman And Nicobar Islands,Total,Persons,Diploma/Certificate below graduate level,Private aided,0.0,667.0
Andaman And Nicobar Islands,Total,Persons,Diploma/Certificate below graduate level,Private Unaided,0.1,667.0
Andaman And Nicobar Islands,Total,Persons,Graduate and above level including diploma,Government,13.2,667.0
Andaman And Nicobar Islands,Total,Persons,Graduate and above level including diploma,Private aided,0.0,667.0
Andaman And Nicobar Islands,Total,Persons,Graduate and above level including diploma,Private Unaided,0.0,667.0
Andaman And Nicobar Islands,Total,Persons,Pre-Primary,Government,1.9,667.0
Andaman And Nicobar Islands,Total,Persons,Pre-Primary,Private aided,0.4,667.0
Andaman And Nicobar Islands,Total,Persons,Pre-Primary,Private Unaided,5.6,667.0
Andaman And Nicobar Islands,Total,Persons,Primary,Government,25.0,667.0
Andaman And Nicobar Islands,Total,Persons,Primary,Private aided,4.5,667.0
Andaman And Nicobar Islands,Total,Persons,Primary,Private Unaided,7.2,667.0
Andaman And Nicobar Islands,Total,Persons,Secondary and Higher Secondary,Government,19.5,667.0
Andaman And Nicobar Islands,Total,Persons,Secondary and Higher Secondary,Private aided,2.0,667.0
Andaman And Nicobar Islands,Total,Persons,Secondary and Higher Secondary,Private Unaided,2.9,667.0
Andaman And Nicobar Islands,Total,Persons,Upper Primary,Government,12.3,667.0
Andaman And Nicobar Islands,Total,Persons,Upper Primary,Private aided,1.8,667.0
Andaman And Nicobar Islands,Total,Persons,Upper Primary,Private Unaided,2.9,667.0
Andaman And Nicobar Islands,Urban,Female,Diploma/Certificate below graduate level,Government,0.2,150.0
Andaman And Nicobar Islands,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.0,150.0
Andaman And Nicobar Islands,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.0,150.0
Andaman And Nicobar Islands,Urban,Female,Graduate and above level including diploma,Government,28.9,150.0
Andaman And Nicobar Islands,Urban,Female,Graduate and above level including diploma,Private aided,0.1,150.0
Andaman And Nicobar Islands,Urban,Female,Graduate and above level including diploma,Private Unaided,0.0,150.0
Andaman And Nicobar Islands,Urban,Female,Pre-Primary,Government,0.9,150.0
Andaman And Nicobar Islands,Urban,Female,Pre-Primary,Private aided,0.0,150.0
Andaman And Nicobar Islands,Urban,Female,Pre-Primary,Private Unaided,5.3,150.0
Andaman And Nicobar Islands,Urban,Female,Primary,Government,9.3,150.0
Andaman And Nicobar Islands,Urban,Female,Primary,Private aided,11.4,150.0
Andaman And Nicobar Islands,Urban,Female,Primary,Private Unaided,6.7,150.0
Andaman And Nicobar Islands,Urban,Female,Secondary and Higher Secondary,Government,14.0,150.0
Andaman And Nicobar Islands,Urban,Female,Secondary and Higher Secondary,Private aided,3.9,150.0
Andaman And Nicobar Islands,Urban,Female,Secondary and Higher Secondary,Private Unaided,2.5,150.0
Andaman And Nicobar Islands,Urban,Female,Upper Primary,Government,12.4,150.0
Andaman And Nicobar Islands,Urban,Female,Upper Primary,Private aided,0.2,150.0
Andaman And Nicobar Islands,Urban,Female,Upper Primary,Private Unaided,4.3,150.0
Andaman And Nicobar Islands,Urban,Male,Diploma/Certificate below graduate level,Government,2.0,180.0
Andaman And Nicobar Islands,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.0,180.0
Andaman And Nicobar Islands,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,0.3,180.0
Andaman And Nicobar Islands,Urban,Male,Graduate and above level including diploma,Government,18.4,180.0
Andaman And Nicobar Islands,Urban,Male,Graduate and above level including diploma,Private aided,0.0,180.0
Andaman And Nicobar Islands,Urban,Male,Graduate and above level including diploma,Private Unaided,0.1,180.0
Andaman And Nicobar Islands,Urban,Male,Pre-Primary,Government,0.0,180.0
Andaman And Nicobar Islands,Urban,Male,Pre-Primary,Private aided,1.4,180.0
Andaman And Nicobar Islands,Urban,Male,Pre-Primary,Private Unaided,8.9,180.0
Andaman And Nicobar Islands,Urban,Male,Primary,Government,17.1,180.0
Andaman And Nicobar Islands,Urban,Male,Primary,Private aided,7.3,180.0
Andaman And Nicobar Islands,Urban,Male,Primary,Private Unaided,9.0,180.0
Andaman And Nicobar Islands,Urban,Male,Secondary and Higher Secondary,Government,12.1,180.0
Andaman And Nicobar Islands,Urban,Male,Secondary and Higher Secondary,Private aided,0.9,180.0
Andaman And Nicobar Islands,Urban,Male,Secondary and Higher Secondary,Private Unaided,4.5,180.0
Andaman And Nicobar Islands,Urban,Male,Upper Primary,Government,7.7,180.0
Andaman And Nicobar Islands,Urban,Male,Upper Primary,Private aided,6.3,180.0
Andaman And Nicobar Islands,Urban,Male,Upper Primary,Private Unaided,4.1,180.0
Andaman And Nicobar Islands,Urban,Persons,Diploma/Certificate below graduate level,Government,1.2,330.0
Andaman And Nicobar Islands,Urban,Persons,Diploma/Certificate below graduate level,Private aided,0.0,330.0
Andaman And Nicobar Islands,Urban,Persons,Diploma/Certificate below graduate level,Private Unaided,0.2,330.0
Andaman And Nicobar Islands,Urban,Persons,Graduate and above level including diploma,Government,22.7,330.0
Andaman And Nicobar Islands,Urban,Persons,Graduate and above level including diploma,Private aided,0.1,330.0
Andaman And Nicobar Islands,Urban,Persons,Graduate and above level including diploma,Private Unaided,0.1,330.0
Andaman And Nicobar Islands,Urban,Persons,Pre-Primary,Government,0.4,330.0
Andaman And Nicobar Islands,Urban,Persons,Pre-Primary,Private aided,0.8,330.0
Andaman And Nicobar Islands,Urban,Persons,Pre-Primary,Private Unaided,7.4,330.0
Andaman And Nicobar Islands,Urban,Persons,Primary,Government,13.9,330.0
Andaman And Nicobar Islands,Urban,Persons,Primary,Private aided,9.0,330.0
Andaman And Nicobar Islands,Urban,Persons,Primary,Private Unaided,8.0,330.0
Andaman And Nicobar Islands,Urban,Persons,Secondary and Higher Secondary,Government,12.9,330.0
Andaman And Nicobar Islands,Urban,Persons,Secondary and Higher Secondary,Private aided,2.1,330.0
Andaman And Nicobar Islands,Urban,Persons,Secondary and Higher Secondary,Private Unaided,3.7,330.0
Andaman And Nicobar Islands,Urban,Persons,Upper Primary,Government,9.6,330.0
Andaman And Nicobar Islands,Urban,Persons,Upper Primary,Private aided,3.7,330.0
Andaman And Nicobar Islands,Urban,Persons,Upper Primary,Private Unaided,4.2,330.0
Telangana,Rural,Female,Diploma/Certificate below graduate level,Government,0.1,924.0
Telangana,Rural,Female,Diploma/Certificate below graduate level,Private aided,0.0,924.0
Telangana,Rural,Female,Diploma/Certificate below graduate level,Private Unaided,0.1,924.0
Telangana,Rural,Female,Graduate and above level including diploma,Government,2.3,924.0
Telangana,Rural,Female,Graduate and above level including diploma,Private aided,0.7,924.0
Telangana,Rural,Female,Graduate and above level including diploma,Private Unaided,4.6,924.0
Telangana,Rural,Female,Pre-Primary,Government,3.6,924.0
Telangana,Rural,Female,Pre-Primary,Private aided,0.0,924.0
Telangana,Rural,Female,Pre-Primary,Private Unaided,3.7,924.0
Telangana,Rural,Female,Primary,Government,22.3,924.0
Telangana,Rural,Female,Primary,Private aided,0.0,924.0
Telangana,Rural,Female,Primary,Private Unaided,13.5,924.0
Telangana,Rural,Female,Secondary and Higher Secondary,Government,16.3,924.0
Telangana,Rural,Female,Secondary and Higher Secondary,Private aided,1.1,924.0
Telangana,Rural,Female,Secondary and Higher Secondary,Private Unaided,6.5,924.0
Telangana,Rural,Female,Upper Primary,Government,19.6,924.0
Telangana,Rural,Female,Upper Primary,Private aided,0.8,924.0
Telangana,Rural,Female,Upper Primary,Private Unaided,4.7,924.0
Telangana,Rural,Male,Diploma/Certificate below graduate level,Government,0.5,1358.0
Telangana,Rural,Male,Diploma/Certificate below graduate level,Private aided,0.0,1358.0
Telangana,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,0.9,1358.0
Telangana,Rural,Male,Graduate and above level including diploma,Government,4.1,1358.0
Telangana,Rural,Male,Graduate and above level including diploma,Private aided,0.6,1358.0
Telangana,Rural,Male,Graduate and above level including diploma,Private Unaided,5.6,1358.0
Telangana,Rural,Male,Pre-Primary,Government,1.8,1358.0
Telangana,Rural,Male,Pre-Primary,Private aided,0.0,1358.0
Telangana,Rural,Male,Pre-Primary,Private Unaided,4.8,1358.0
Telangana,Rural,Male,Primary,Government,17.6,1358.0
Telangana,Rural,Male,Primary,Private aided,0.8,1358.0
Telangana,Rural,Male,Primary,Private Unaided,13.0,1358.0
Telangana,Rural,Male,Secondary and Higher Secondary,Government,18.2,1358.0
Telangana,Rural,Male,Secondary and Higher Secondary,Private aided,0.3,1358.0
Telangana,Rural,Male,Secondary and Higher Secondary,Private Unaided,6.5,1358.0
Telangana,Rural,Male,Upper Primary,Government,17.3,1358.0
Telangana,Rural,Male,Upper Primary,Private aided,0.4,1358.0
Telangana,Rural,Male,Upper Primary,Private Unaided,7.2,1358.0
Telangana,Rural,Persons,Diploma/Certificate below graduate level,Government,0.3,2282.0
Telangana,Rural,Persons,Diploma/Certificate below graduate level,Private aided,0.0,2282.0
Telangana,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,0.5,2282.0
Telangana,Rural,Persons,Graduate and above level including diploma,Government,3.3,2282.0
Telangana,Rural,Persons,Graduate and above level including diploma,Private aided,0.7,2282.0
Telangana,Rural,Persons,Graduate and above level including diploma,Private Unaided,5.2,2282.0
Telangana,Rural,Persons,Pre-Primary,Government,2.6,2282.0
Telangana,Rural,Persons,Pre-Primary,Private aided,0.0,2282.0
Telangana,Rural,Persons,Pre-Primary,Private Unaided,4.3,2282.0
Telangana,Rural,Persons,Primary,Government,19.7,2282.0
Telangana,Rural,Persons,Primary,Private aided,0.4,2282.0
Telangana,Rural,Persons,Primary,Private Unaided,13.2,2282.0
Telangana,Rural,Persons,Secondary and Higher Secondary,Government,17.4,2282.0
Telangana,Rural,Persons,Secondary and Higher Secondary,Private aided,0.7,2282.0
Telangana,Rural,Persons,Secondary and Higher Secondary,Private Unaided,6.5,2282.0
Telangana,Rural,Persons,Upper Primary,Government,18.3,2282.0
Telangana,Rural,Persons,Upper Primary,Private aided,0.6,2282.0
Telangana,Rural,Persons,Upper Primary,Private Unaided,6.1,2282.0
Telangana,Total,Female,Diploma/Certificate below graduate level,Government,0.2,1799.0
Telangana,Total,Female,Diploma/Certificate below graduate level,Private aided,0.0,1799.0
Telangana,Total,Female,Diploma/Certificate below graduate level,Private Unaided,0.3,1799.0
Telangana,Total,Female,Graduate and above level including diploma,Government,1.5,1799.0
Telangana,Total,Female,Graduate and above level including diploma,Private aided,0.6,1799.0
Telangana,Total,Female,Graduate and above level including diploma,Private Unaided,8.5,1799.0
Telangana,Total,Female,Pre-Primary,Government,2.0,1799.0
Telangana,Total,Female,Pre-Primary,Private aided,0.1,1799.0
Telangana,Total,Female,Pre-Primary,Private Unaided,5.2,1799.0
Telangana,Total,Female,Primary,Government,14.1,1799.0
Telangana,Total,Female,Primary,Private aided,0.4,1799.0
Telangana,Total,Female,Primary,Private Unaided,20.6,1799.0
Telangana,Total,Female,Secondary and Higher Secondary,Government,10.7,1799.0
Telangana,Total,Female,Secondary and Higher Secondary,Private aided,1.1,1799.0
Telangana,Total,Female,Secondary and Higher Secondary,Private Unaided,11.8,1799.0
Telangana,Total,Female,Upper Primary,Government,12.0,1799.0
Telangana,Total,Female,Upper Primary,Private aided,1.6,1799.0
Telangana,Total,Female,Upper Primary,Private Unaided,9.4,1799.0
Telangana,Total,Male,Diploma/Certificate below graduate level,Government,0.4,2519.0
Telangana,Total,Male,Diploma/Certificate below graduate level,Private aided,0.0,2519.0
Telangana,Total,Male,Diploma/Certificate below graduate level,Private Unaided,0.7,2519.0
Telangana,Total,Male,Graduate and above level including diploma,Government,2.9,2519.0
Telangana,Total,Male,Graduate and above level including diploma,Private aided,0.6,2519.0
Telangana,Total,Male,Graduate and above level including diploma,Private Unaided,8.1,2519.0
Telangana,Total,Male,Pre-Primary,Government,1.0,2519.0
Telangana,Total,Male,Pre-Primary,Private aided,0.1,2519.0
Telangana,Total,Male,Pre-Primary,Private Unaided,4.6,2519.0
Telangana,Total,Male,Primary,Government,10.7,2519.0
Telangana,Total,Male,Primary,Private aided,1.6,2519.0
Telangana,Total,Male,Primary,Private Unaided,19.5,2519.0
Telangana,Total,Male,Secondary and Higher Secondary,Government,11.0,2519.0
Telangana,Total,Male,Secondary and Higher Secondary,Private aided,0.9,2519.0
Telangana,Total,Male,Secondary and Higher Secondary,Private Unaided,15.7,2519.0
Telangana,Total,Male,Upper Primary,Government,9.5,2519.0
Telangana,Total,Male,Upper Primary,Private aided,0.6,2519.0
Telangana,Total,Male,Upper Primary,Private Unaided,11.9,2519.0
Telangana,Total,Persons,Diploma/Certificate below graduate level,Government,0.3,4318.0
Telangana,Total,Persons,Diploma/Certificate below graduate level,Private aided,0.0,4318.0
Telangana,Total,Persons,Diploma/Certificate below graduate level,Private Unaided,0.5,4318.0
Telangana,Total,Persons,Graduate and above level including diploma,Government,2.3,4318.0
Telangana,Total,Persons,Graduate and above level including diploma,Private aided,0.6,4318.0
Telangana,Total,Persons,Graduate and above level including diploma,Private Unaided,8.3,4318.0
Telangana,Total,Persons,Pre-Primary,Government,1.4,4318.0
Telangana,Total,Persons,Pre-Primary,Private aided,0.1,4318.0
Telangana,Total,Persons,Pre-Primary,Private Unaided,4.9,4318.0
Telangana,Total,Persons,Primary,Government,12.2,4318.0
Telangana,Total,Persons,Primary,Private aided,1.1,4318.0
Telangana,Total,Persons,Primary,Private Unaided,19.9,4318.0
Telangana,Total,Persons,Secondary and Higher Secondary,Government,10.9,4318.0
Telangana,Total,Persons,Secondary and Higher Secondary,Private aided,1.0,4318.0
Telangana,Total,Persons,Secondary and Higher Secondary,Private Unaided,14.0,4318.0
Telangana,Total,Persons,Upper Primary,Government,10.6,4318.0
Telangana,Total,Persons,Upper Primary,Private aided,1.1,4318.0
Telangana,Total,Persons,Upper Primary,Private Unaided,10.9,4318.0
Telangana,Urban,Female,Diploma/Certificate below graduate level,Government,0.3,875.0
Telangana,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.0,875.0
Telangana,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.5,875.0
Telangana,Urban,Female,Graduate and above level including diploma,Government,0.4,875.0
Telangana,Urban,Female,Graduate and above level including diploma,Private aided,0.4,875.0
Telangana,Urban,Female,Graduate and above level including diploma,Private Unaided,13.2,875.0
Telangana,Urban,Female,Pre-Primary,Government,0.0,875.0
Telangana,Urban,Female,Pre-Primary,Private aided,0.1,875.0
Telangana,Urban,Female,Pre-Primary,Private Unaided,7.1,875.0
Telangana,Urban,Female,Primary,Government,4.1,875.0
Telangana,Urban,Female,Primary,Private aided,0.8,875.0
Telangana,Urban,Female,Primary,Private Unaided,29.1,875.0
Telangana,Urban,Female,Secondary and Higher Secondary,Government,4.0,875.0
Telangana,Urban,Female,Secondary and Higher Secondary,Private aided,1.0,875.0
Telangana,Urban,Female,Secondary and Higher Secondary,Private Unaided,18.2,875.0
Telangana,Urban,Female,Upper Primary,Government,2.9,875.0
Telangana,Urban,Female,Upper Primary,Private aided,2.6,875.0
Telangana,Urban,Female,Upper Primary,Private Unaided,15.2,875.0
Telangana,Urban,Male,Diploma/Certificate below graduate level,Government,0.2,1161.0
Telangana,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.0,1161.0
Telangana,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,0.6,1161.0
Telangana,Urban,Male,Graduate and above level including diploma,Government,1.6,1161.0
Telangana,Urban,Male,Graduate and above level including diploma,Private aided,0.5,1161.0
