State,Residence_Type,Level of current enrolment,Gender,Gross enrolment ratio ( ger )
Madhya Pradesh,Rural,Higher Secondary,Male,56.4
Madhya Pradesh,Rural,Post Higher Secondary,Male,14.4
Madhya Pradesh,Rural,Primary,Male,99.1
Madhya Pradesh,Rural,Primary To Higher Secondary,Male,89.8
Madhya Pradesh,Rural,Primary & Upper Primary,Male,99.8
Madhya Pradesh,Rural,Secondary,Male,81.6
Madhya Pradesh,Rural,Secondary And Higher Secondary,Male,69.2
Madhya Pradesh,Rural,Upper Primary,Male,100.9
Madhya Pradesh,Rural,Higher Secondary,Person,53.7
Madhya Pradesh,Rural,Post Higher Secondary,Person,12.2
Madhya Pradesh,Rural,Primary,Person,95.3
Madhya Pradesh,Rural,Primary To Higher Secondary,Person,87.0
Madhya Pradesh,Rural,Primary & Upper Primary,Person,96.5
Madhya Pradesh,Rural,Secondary,Person,81.1
Madhya Pradesh,Rural,Secondary And Higher Secondary,Person,67.9
Madhya Pradesh,Rural,Upper Primary,Person,98.6
Madhya Pradesh,Total,Higher Secondary,Female,56.3
Madhya Pradesh,Total,Post Higher Secondary,Female,15.0
Madhya Pradesh,Total,Primary,Female,92.6
Madhya Pradesh,Total,Primary To Higher Secondary,Female,86.2
Madhya Pradesh,Total,Primary & Upper Primary,Female,93.4
Madhya Pradesh,Total,Secondary,Female,86.0
Madhya Pradesh,Total,Secondary And Higher Secondary,Female,72.3
Madhya Pradesh,Total,Upper Primary,Female,94.9
Madhya Pradesh,Total,Higher Secondary,Male,63.5
Madhya Pradesh,Total,Post Higher Secondary,Male,19.5
Madhya Pradesh,Total,Primary,Male,98.2
Madhya Pradesh,Total,Primary To Higher Secondary,Male,90.7
Madhya Pradesh,Total,Primary & Upper Primary,Male,99.4
Madhya Pradesh,Total,Secondary,Male,82.6
Madhya Pradesh,Total,Secondary And Higher Secondary,Male,73.5
Madhya Pradesh,Total,Upper Primary,Male,101.3
Madhya Pradesh,Total,Higher Secondary,Person,60.3
Madhya Pradesh,Total,Post Higher Secondary,Person,17.5
Madhya Pradesh,Total,Primary,Person,95.6
Madhya Pradesh,Total,Primary To Higher Secondary,Person,88.6
Madhya Pradesh,Total,Primary & Upper Primary,Person,96.7
Madhya Pradesh,Total,Secondary,Person,84.2
Madhya Pradesh,Total,Secondary And Higher Secondary,Person,72.9
Madhya Pradesh,Total,Upper Primary,Person,98.5
Madhya Pradesh,Urban,Higher Secondary,Female,80.6
Madhya Pradesh,Urban,Post Higher Secondary,Female,29.4
Madhya Pradesh,Urban,Primary,Female,99.6
Madhya Pradesh,Urban,Primary To Higher Secondary,Female,95.9
Madhya Pradesh,Urban,Primary & Upper Primary,Female,96.6
Madhya Pradesh,Urban,Secondary,Female,105.2
Madhya Pradesh,Urban,Secondary And Higher Secondary,Female,94.8
Madhya Pradesh,Urban,Upper Primary,Female,92.4
Madhya Pradesh,Urban,Higher Secondary,Male,87.8
Madhya Pradesh,Urban,Post Higher Secondary,Male,34.9
Madhya Pradesh,Urban,Primary,Male,95.1
Madhya Pradesh,Urban,Primary To Higher Secondary,Male,93.7
Madhya Pradesh,Urban,Primary & Upper Primary,Male,98.0
Madhya Pradesh,Urban,Secondary,Male,85.3
Madhya Pradesh,Urban,Secondary And Higher Secondary,Male,86.4
Madhya Pradesh,Urban,Upper Primary,Male,102.9
Madhya Pradesh,Urban,Higher Secondary,Person,84.8
Madhya Pradesh,Urban,Post Higher Secondary,Person,32.3
Madhya Pradesh,Urban,Primary,Person,96.9
Madhya Pradesh,Urban,Primary To Higher Secondary,Person,94.7
Madhya Pradesh,Urban,Primary & Upper Primary,Person,97.4
Madhya Pradesh,Urban,Secondary,Person,93.8
Madhya Pradesh,Urban,Secondary And Higher Secondary,Person,89.9
Madhya Pradesh,Urban,Upper Primary,Person,98.1
Gujarat,Rural,Higher Secondary,Female,55.7
Gujarat,Rural,Post Higher Secondary,Female,7.8
Gujarat,Rural,Primary,Female,106.1
Gujarat,Rural,Primary To Higher Secondary,Female,86.3
Gujarat,Rural,Primary & Upper Primary,Female,94.9
Gujarat,Rural,Secondary,Female,82.6
Gujarat,Rural,Secondary And Higher Secondary,Female,70.2
Gujarat,Rural,Upper Primary,Female,81.4
Gujarat,Rural,Higher Secondary,Male,55.1
Gujarat,Rural,Post Higher Secondary,Male,13.0
Gujarat,Rural,Primary,Male,106.7
Gujarat,Rural,Primary To Higher Secondary,Male,89.2
Gujarat,Rural,Primary & Upper Primary,Male,100.7
Gujarat,Rural,Secondary,Male,83.1
Gujarat,Rural,Secondary And Higher Secondary,Male,69.6
Gujarat,Rural,Upper Primary,Male,91.2
Gujarat,Rural,Higher Secondary,Person,55.3
Gujarat,Rural,Post Higher Secondary,Person,10.5
Gujarat,Rural,Primary,Person,106.4
Gujarat,Rural,Primary To Higher Secondary,Person,87.8
Gujarat,Rural,Primary & Upper Primary,Person,97.9
Gujarat,Rural,Secondary,Person,82.9
Gujarat,Rural,Secondary And Higher Secondary,Person,69.9
Gujarat,Rural,Upper Primary,Person,86.1
Gujarat,Total,Higher Secondary,Female,58.7
Gujarat,Total,Post Higher Secondary,Female,14.9
Gujarat,Total,Primary,Female,106.5
Gujarat,Total,Primary To Higher Secondary,Female,88.9
Gujarat,Total,Primary & Upper Primary,Female,97.2
Gujarat,Total,Secondary,Female,84.9
Gujarat,Total,Secondary And Higher Secondary,Female,72.7
Gujarat,Total,Upper Primary,Female,86.0
Gujarat,Total,Higher Secondary,Male,60.6
Gujarat,Total,Post Higher Secondary,Male,16.7
Gujarat,Total,Primary,Male,105.9
Gujarat,Total,Primary To Higher Secondary,Male,92.6
Gujarat,Total,Primary & Upper Primary,Male,101.7
Gujarat,Total,Secondary,Male,92.4
Gujarat,Total,Secondary And Higher Secondary,Male,76.9
Gujarat,Total,Upper Primary,Male,94.7
Gujarat,Total,Higher Secondary,Person,59.8
Gujarat,Total,Post Higher Secondary,Person,15.8
Gujarat,Total,Primary,Person,106.2
Gujarat,Total,Primary To Higher Secondary,Person,91.0
Gujarat,Total,Primary & Upper Primary,Person,99.7
Gujarat,Total,Secondary,Person,89.1
Gujarat,Total,Secondary And Higher Secondary,Person,75.1
Gujarat,Total,Upper Primary,Person,90.3
Gujarat,Urban,Higher Secondary,Female,66.2
Gujarat,Urban,Post Higher Secondary,Female,27.0
Gujarat,Urban,Primary,Female,107.5
Gujarat,Urban,Primary To Higher Secondary,Female,95.1
Gujarat,Urban,Primary & Upper Primary,Female,102.6
Gujarat,Urban,Secondary,Female,90.8
Gujarat,Urban,Secondary And Higher Secondary,Female,79.2
Gujarat,Urban,Upper Primary,Female,96.7
Gujarat,Urban,Higher Secondary,Male,70.3
Gujarat,Urban,Post Higher Secondary,Male,22.4
Gujarat,Urban,Primary,Male,104.6
Gujarat,Urban,Primary To Higher Secondary,Male,98.7
Gujarat,Urban,Primary & Upper Primary,Male,103.5
Gujarat,Urban,Secondary,Male,109.8
Gujarat,Urban,Secondary And Higher Secondary,Male,90.1
Gujarat,Urban,Upper Primary,Male,101.5
Gujarat,Urban,Higher Secondary,Person,68.8
Gujarat,Urban,Post Higher Secondary,Person,24.5
Gujarat,Urban,Primary,Person,105.7
Gujarat,Urban,Primary To Higher Secondary,Person,97.3
Gujarat,Urban,Primary & Upper Primary,Person,103.2
Gujarat,Urban,Secondary,Person,102.4
Gujarat,Urban,Secondary And Higher Secondary,Person,86.0
Gujarat,Urban,Upper Primary,Person,99.3
Maharashtra,Rural,Higher Secondary,Female,73.2
Maharashtra,Rural,Post Higher Secondary,Female,18.2
Maharashtra,Rural,Primary,Female,99.7
Maharashtra,Rural,Primary To Higher Secondary,Female,93.7
Maharashtra,Rural,Primary & Upper Primary,Female,96.7
Maharashtra,Rural,Secondary,Female,103.4
Maharashtra,Rural,Secondary And Higher Secondary,Female,88.4
Maharashtra,Rural,Upper Primary,Female,92.4
Maharashtra,Rural,Higher Secondary,Male,82.6
Maharashtra,Rural,Post Higher Secondary,Male,30.8
Maharashtra,Rural,Primary,Male,96.8
Maharashtra,Rural,Primary To Higher Secondary,Male,98.1
Maharashtra,Rural,Primary & Upper Primary,Male,99.3
Maharashtra,Rural,Secondary,Male,109.5
Maharashtra,Rural,Secondary And Higher Secondary,Male,96.1
Maharashtra,Rural,Upper Primary,Male,104.8
Maharashtra,Rural,Higher Secondary,Person,78.4
Maharashtra,Rural,Post Higher Secondary,Person,25.3
Maharashtra,Rural,Primary,Person,98.0
Maharashtra,Rural,Primary To Higher Secondary,Person,96.1
Maharashtra,Rural,Primary & Upper Primary,Person,98.1
Maharashtra,Rural,Secondary,Person,106.8
Maharashtra,Rural,Secondary And Higher Secondary,Person,92.7
Maharashtra,Rural,Upper Primary,Person,98.3
Maharashtra,Total,Higher Secondary,Female,75.8
Maharashtra,Total,Post Higher Secondary,Female,24.4
Maharashtra,Total,Primary,Female,104.9
Maharashtra,Total,Primary To Higher Secondary,Female,96.4
Maharashtra,Total,Primary & Upper Primary,Female,100.2
Maharashtra,Total,Secondary,Female,102.1
Maharashtra,Total,Secondary And Higher Secondary,Female,89.6
Maharashtra,Total,Upper Primary,Female,92.7
Maharashtra,Total,Higher Secondary,Male,76.3
Maharashtra,Total,Post Higher Secondary,Male,33.7
Maharashtra,Total,Primary,Male,99.3
Maharashtra,Total,Primary To Higher Secondary,Male,97.1
Maharashtra,Total,Primary & Upper Primary,Male,100.1
Maharashtra,Total,Secondary,Male,108.9
Maharashtra,Total,Secondary And Higher Secondary,Male,92.0
Maharashtra,Total,Upper Primary,Male,101.8
Maharashtra,Total,Higher Secondary,Person,76.1
Maharashtra,Total,Post Higher Secondary,Person,29.5
Maharashtra,Total,Primary,Person,101.7
Maharashtra,Total,Primary To Higher Secondary,Person,96.8
Maharashtra,Total,Primary & Upper Primary,Person,100.1
Maharashtra,Total,Secondary,Person,105.8
Maharashtra,Total,Secondary And Higher Secondary,Person,91.0
Maharashtra,Total,Upper Primary,Person,97.3
Maharashtra,Urban,Higher Secondary,Female,80.7
Maharashtra,Urban,Post Higher Secondary,Female,31.8
Maharashtra,Urban,Primary,Female,112.2
Maharashtra,Urban,Primary To Higher Secondary,Female,100.6
Maharashtra,Urban,Primary & Upper Primary,Female,105.2
Maharashtra,Urban,Secondary,Female,100.2
Maharashtra,Urban,Secondary And Higher Secondary,Female,91.6
Maharashtra,Urban,Upper Primary,Female,93.1
Maharashtra,Urban,Higher Secondary,Male,67.6
Maharashtra,Urban,Post Higher Secondary,Male,37.8
Maharashtra,Urban,Primary,Male,102.7
Maharashtra,Urban,Primary To Higher Secondary,Male,95.8
Maharashtra,Urban,Primary & Upper Primary,Male,101.1
Maharashtra,Urban,Secondary,Male,107.8
Maharashtra,Urban,Secondary And Higher Secondary,Male,85.8
Maharashtra,Urban,Upper Primary,Male,98.3
Maharashtra,Urban,Higher Secondary,Person,72.5
Maharashtra,Urban,Post Higher Secondary,Person,35.0
Maharashtra,Urban,Primary,Person,106.8
Maharashtra,Urban,Primary To Higher Secondary,Person,97.9
Maharashtra,Urban,Primary & Upper Primary,Person,102.9
Maharashtra,Urban,Secondary,Person,104.2
Maharashtra,Urban,Secondary And Higher Secondary,Person,88.3
Maharashtra,Urban,Upper Primary,Person,96.0
Andhra Pradesh,Rural,Higher Secondary,Female,66.5
Andhra Pradesh,Rural,Post Higher Secondary,Female,14.2
Andhra Pradesh,Rural,Primary,Female,97.5
Andhra Pradesh,Rural,Primary To Higher Secondary,Female,90.1
Andhra Pradesh,Rural,Primary & Upper Primary,Female,88.5
Andhra Pradesh,Rural,Secondary,Female,114.6
Andhra Pradesh,Rural,Secondary And Higher Secondary,Female,92.7
Andhra Pradesh,Rural,Upper Primary,Female,76.1
Andhra Pradesh,Rural,Higher Secondary,Male,71.2
Andhra Pradesh,Rural,Post Higher Secondary,Male,24.2
Andhra Pradesh,Rural,Primary,Male,102.8
Andhra Pradesh,Rural,Primary To Higher Secondary,Male,95.1
Andhra Pradesh,Rural,Primary & Upper Primary,Male,96.5
Andhra Pradesh,Rural,Secondary,Male,111.4
Andhra Pradesh,Rural,Secondary And Higher Secondary,Male,92.1
Andhra Pradesh,Rural,Upper Primary,Male,85.9
Andhra Pradesh,Rural,Higher Secondary,Person,68.8
Andhra Pradesh,Rural,Post Higher Secondary,Person,19.4
Andhra Pradesh,Rural,Primary,Person,100.4
Andhra Pradesh,Rural,Primary To Higher Secondary,Person,92.6
Andhra Pradesh,Rural,Primary & Upper Primary,Person,92.7
Andhra Pradesh,Rural,Secondary,Person,113.1
Andhra Pradesh,Rural,Secondary And Higher Secondary,Person,92.4
Andhra Pradesh,Rural,Upper Primary,Person,80.9
Andhra Pradesh,Total,Higher Secondary,Female,70.7
Andhra Pradesh,Total,Post Higher Secondary,Female,23.4
Andhra Pradesh,Total,Primary,Female,97.8
Andhra Pradesh,Total,Primary To Higher Secondary,Female,91.8
Andhra Pradesh,Total,Primary & Upper Primary,Female,88.3
Andhra Pradesh,Total,Secondary,Female,123.1
Andhra Pradesh,Total,Secondary And Higher Secondary,Female,98.0
Andhra Pradesh,Total,Upper Primary,Female,76.2
Andhra Pradesh,Total,Higher Secondary,Male,78.5
Andhra Pradesh,Total,Post Higher Secondary,Male,28.9
Andhra Pradesh,Total,Primary,Male,102.0
Andhra Pradesh,Total,Primary To Higher Secondary,Male,95.1
Andhra Pradesh,Total,Primary & Upper Primary,Male,96.7
Andhra Pradesh,Total,Secondary,Male,105.9
Andhra Pradesh,Total,Secondary And Higher Secondary,Male,92.1
Andhra Pradesh,Total,Upper Primary,Male,88.0
Andhra Pradesh,Total,Higher Secondary,Person,74.7
Andhra Pradesh,Total,Post Higher Secondary,Person,26.1
Andhra Pradesh,Total,Primary,Person,100.1
Andhra Pradesh,Total,Primary To Higher Secondary,Person,93.5
Andhra Pradesh,Total,Primary & Upper Primary,Person,92.7
Andhra Pradesh,Total,Secondary,Person,114.7
Andhra Pradesh,Total,Secondary And Higher Secondary,Person,95.1
Andhra Pradesh,Total,Upper Primary,Person,81.9
Andhra Pradesh,Urban,Higher Secondary,Female,79.2
Andhra Pradesh,Urban,Post Higher Secondary,Female,40.2
Andhra Pradesh,Urban,Primary,Female,98.5
Andhra Pradesh,Urban,Primary To Higher Secondary,Female,95.6
Andhra Pradesh,Urban,Primary & Upper Primary,Female,88.0
Andhra Pradesh,Urban,Secondary,Female,146.9
Andhra Pradesh,Urban,Secondary And Higher Secondary,Female,110.7
Andhra Pradesh,Urban,Upper Primary,Female,76.4
Andhra Pradesh,Urban,Higher Secondary,Male,89.2
Andhra Pradesh,Urban,Post Higher Secondary,Male,40.8
Andhra Pradesh,Urban,Primary,Male,100.4
Andhra Pradesh,Urban,Primary To Higher Secondary,Male,95.2
Andhra Pradesh,Urban,Primary & Upper Primary,Male,97.0
Andhra Pradesh,Urban,Secondary,Male,95.5
Andhra Pradesh,Urban,Secondary And Higher Secondary,Male,92.1
Andhra Pradesh,Urban,Upper Primary,Male,91.9
Andhra Pradesh,Urban,Higher Secondary,Person,84.9
Andhra Pradesh,Urban,Post Higher Secondary,Person,40.4
Andhra Pradesh,Urban,Primary,Person,99.5
Andhra Pradesh,Urban,Primary To Higher Secondary,Person,95.4
Andhra Pradesh,Urban,Primary & Upper Primary,Person,92.7
Andhra Pradesh,Urban,Secondary,Person,118.4
Andhra Pradesh,Urban,Secondary And Higher Secondary,Person,100.2
Andhra Pradesh,Urban,Upper Primary,Person,83.8
Karnataka,Rural,Higher Secondary,Female,67.5
Karnataka,Rural,Post Higher Secondary,Female,12.7
Karnataka,Rural,Primary,Female,99.1
Karnataka,Rural,Primary To Higher Secondary,Female,92.9
Karnataka,Rural,Primary & Upper Primary,Female,97.0
Karnataka,Rural,Secondary,Female,97.6
Karnataka,Rural,Secondary And Higher Secondary,Female,84.2
Karnataka,Rural,Upper Primary,Female,92.9
Karnataka,Rural,Higher Secondary,Male,69.0
Karnataka,Rural,Post Higher Secondary,Male,20.0
Karnataka,Rural,Primary,Male,107.6
Karnataka,Rural,Primary To Higher Secondary,Male,94.6
Karnataka,Rural,Primary & Upper Primary,Male,101.2
Karnataka,Rural,Secondary,Male,89.8
Karnataka,Rural,Secondary And Higher Secondary,Male,81.5
Karnataka,Rural,Upper Primary,Male,89.6
Karnataka,Rural,Higher Secondary,Person,68.3
Karnataka,Rural,Post Higher Secondary,Person,16.9
Karnataka,Rural,Primary,Person,103.9
Karnataka,Rural,Primary To Higher Secondary,Person,93.9
Karnataka,Rural,Primary & Upper Primary,Person,99.4
Karnataka,Rural,Secondary,Person,92.8
Karnataka,Rural,Secondary And Higher Secondary,Person,82.6
Karnataka,Rural,Upper Primary,Person,90.9
Karnataka,Total,Higher Secondary,Female,78.3
Karnataka,Total,Post Higher Secondary,Female,19.7
Karnataka,Total,Primary,Female,101.1
Karnataka,Total,Primary To Higher Secondary,Female,94.9
Karnataka,Total,Primary & Upper Primary,Female,98.2
Karnataka,Total,Secondary,Female,96.4
Karnataka,Total,Secondary And Higher Secondary,Female,87.9
Karnataka,Total,Upper Primary,Female,92.5
Karnataka,Total,Higher Secondary,Male,70.1
Karnataka,Total,Post Higher Secondary,Male,23.6
Karnataka,Total,Primary,Male,107.5
Karnataka,Total,Primary To Higher Secondary,Male,95.0
Karnataka,Total,Primary & Upper Primary,Male,100.4
Karnataka,Total,Secondary,Male,94.5
Karnataka,Total,Secondary And Higher Secondary,Male,84.1
Karnataka,Total,Upper Primary,Male,88.4
Karnataka,Total,Higher Secondary,Person,73.8
Karnataka,Total,Post Higher Secondary,Person,21.9
Karnataka,Total,Primary,Person,104.6
Karnataka,Total,Primary To Higher Secondary,Person,95.0
Karnataka,Total,Primary & Upper Primary,Person,99.4
Karnataka,Total,Secondary,Person,95.3
Karnataka,Total,Secondary And Higher Secondary,Person,85.7
Karnataka,Total,Upper Primary,Person,90.1
Karnataka,Urban,Higher Secondary,Female,95.9
Karnataka,Urban,Post Higher Secondary,Female,30.6
Karnataka,Urban,Primary,Female,104.6
Karnataka,Urban,Primary To Higher Secondary,Female,98.6
Karnataka,Urban,Primary & Upper Primary,Female,100.2
Karnataka,Urban,Secondary,Female,93.9
Karnataka,Urban,Secondary And Higher Secondary,Female,95.0
Karnataka,Urban,Upper Primary,Female,91.8
Karnataka,Urban,Higher Secondary,Male,72.3
Karnataka,Urban,Post Higher Secondary,Male,30.4
Karnataka,Urban,Primary,Male,107.3
Karnataka,Urban,Primary To Higher Secondary,Male,95.9
Karnataka,Urban,Primary & Upper Primary,Male,98.7
Karnataka,Urban,Secondary,Male,106.6
Karnataka,Urban,Secondary And Higher Secondary,Male,90.1
Karnataka,Urban,Upper Primary,Male,86.2
Karnataka,Urban,Higher Secondary,Person,83.2
Karnataka,Urban,Post Higher Secondary,Person,30.5
Karnataka,Urban,Primary,Person,106.0
Karnataka,Urban,Primary To Higher Secondary,Person,97.2
Karnataka,Urban,Primary & Upper Primary,Person,99.4
Karnataka,Urban,Secondary,Person,101.3
Karnataka,Urban,Secondary And Higher Secondary,Person,92.2
Karnataka,Urban,Upper Primary,Person,88.7
Goa,Rural,Higher Secondary,Female,139.8
Goa,Rural,Post Higher Secondary,Female,30.1
Goa,Rural,Primary,Female,87.3
Goa,Rural,Primary To Higher Secondary,Female,94.9
Goa,Rural,Primary & Upper Primary,Female,91.3
Goa,Rural,Secondary,Female,96.5
Goa,Rural,Secondary And Higher Secondary,Female,105.1
Goa,Rural,Upper Primary,Female,107.2
Goa,Rural,Higher Secondary,Male,80.1
Goa,Rural,Post Higher Secondary,Male,9.0
Goa,Rural,Primary,Male,109.8
Goa,Rural,Primary To Higher Secondary,Male,94.9
Goa,Rural,Primary & Upper Primary,Male,99.9
Goa,Rural,Secondary,Male,79.8
Goa,Rural,Secondary And Higher Secondary,Male,80.0
Goa,Rural,Upper Primary,Male,67.7
Goa,Rural,Higher Secondary,Person,100.1
Goa,Rural,Post Higher Secondary,Person,18.2
Goa,Rural,Primary,Person,96.8
Goa,Rural,Primary To Higher Secondary,Person,94.9
Goa,Rural,Primary & Upper Primary,Person,95.0
Goa,Rural,Secondary,Person,91.6
Goa,Rural,Secondary And Higher Secondary,Person,94.5
Goa,Rural,Upper Primary,Person,88.6
Goa,Total,Higher Secondary,Female,84.3
Goa,Total,Post Higher Secondary,Female,32.5
Goa,Total,Primary,Female,93.7
Goa,Total,Primary To Higher Secondary,Female,97.9
Goa,Total,Primary & Upper Primary,Female,93.4
Goa,Total,Secondary,Female,127.5
Goa,Total,Secondary And Higher Secondary,Female,107.3
Goa,Total,Upper Primary,Female,92.8
Goa,Total,Higher Secondary,Male,129.7
Goa,Total,Post Higher Secondary,Male,26.4
Goa,Total,Primary,Male,106.8
Goa,Total,Primary To Higher Secondary,Male,100.4
Goa,Total,Primary & Upper Primary,Male,109.2
Goa,Total,Secondary,Male,56.5
Goa,Total,Secondary And Higher Secondary,Male,80.1
Goa,Total,Upper Primary,Male,114.2
Goa,Total,Higher Secondary,Person,104.2
Goa,Total,Post Higher Secondary,Person,28.9
Goa,Total,Primary,Person,100.8
Goa,Total,Primary To Higher Secondary,Person,99.2
Goa,Total,Primary & Upper Primary,Person,102.1
Goa,Total,Secondary,Person,85.6
Goa,Total,Secondary And Higher Secondary,Person,92.9
Goa,Total,Upper Primary,Person,105.2
Goa,Urban,Higher Secondary,Female,75.0
Goa,Urban,Post Higher Secondary,Female,34.1
Goa,Urban,Primary,Female,100.4
Goa,Urban,Primary To Higher Secondary,Female,100.0
Goa,Urban,Primary & Upper Primary,Female,95.2
Goa,Urban,Secondary,Female,158.6
Goa,Urban,Secondary And Higher Secondary,Female,108.4
Goa,Urban,Upper Primary,Female,86.4
Goa,Urban,Higher Secondary,Male,158.1
Goa,Urban,Post Higher Secondary,Male,37.1
Goa,Urban,Primary,Male,105.4
Goa,Urban,Primary To Higher Secondary,Male,102.3
Goa,Urban,Primary & Upper Primary,Male,112.9
Goa,Urban,Secondary,Male,52.6
Goa,Urban,Secondary And Higher Secondary,Male,80.2
Goa,Urban,Upper Primary,Male,125.9
Goa,Urban,Higher Secondary,Person,105.6
Goa,Urban,Post Higher Secondary,Person,35.9
Goa,Urban,Primary,Person,103.5
Goa,Urban,Primary To Higher Secondary,Person,101.4
Goa,Urban,Primary & Upper Primary,Person,106.1
Goa,Urban,Secondary,Person,83.2
Goa,Urban,Secondary And Higher Secondary,Person,92.3
Goa,Urban,Upper Primary,Person,110.6
Lakshadweep,Rural,Higher Secondary,Female,586.0
Lakshadweep,Rural,Post Higher Secondary,Female,0.0
Lakshadweep,Rural,Primary,Female,102.7
Lakshadweep,Rural,Primary To Higher Secondary,Female,99.8
Lakshadweep,Rural,Primary & Upper Primary,Female,100.3
Lakshadweep,Rural,Secondary,Female,4.8
Lakshadweep,Rural,Secondary And Higher Secondary,Female,93.6
Lakshadweep,Rural,Upper Primary,Female,95.8
Lakshadweep,Rural,Higher Secondary,Male,56.1
Lakshadweep,Rural,Post Higher Secondary,Male,0.0
Lakshadweep,Rural,Primary,Male,121.7
Lakshadweep,Rural,Primary To Higher Secondary,Male,79.9
Lakshadweep,Rural,Primary & Upper Primary,Male,124.2
Lakshadweep,Rural,Secondary,Male,40.3
Lakshadweep,Rural,Secondary And Higher Secondary,Male,47.5
Lakshadweep,Rural,Upper Primary,Male,132.6
Lakshadweep,Rural,Higher Secondary,Person,107.0
Lakshadweep,Rural,Post Higher Secondary,Person,0.0
Lakshadweep,Rural,Primary,Person,106.2
Lakshadweep,Rural,Primary To Higher Secondary,Person,94.0
Lakshadweep,Rural,Primary & Upper Primary,Person,104.1
Lakshadweep,Rural,Secondary,Person,28.5
Lakshadweep,Rural,Secondary And Higher Secondary,Person,58.6
Lakshadweep,Rural,Upper Primary,Person,99.8
Lakshadweep,Total,Higher Secondary,Female,108.6
Lakshadweep,Total,Post Higher Secondary,Female,2.2
Lakshadweep,Total,Primary,Female,104.2
Lakshadweep,Total,Primary To Higher Secondary,Female,100.5
Lakshadweep,Total,Primary & Upper Primary,Female,100.4
Lakshadweep,Total,Secondary,Female,92.5
Lakshadweep,Total,Secondary And Higher Secondary,Female,100.7
Lakshadweep,Total,Upper Primary,Female,93.1
Lakshadweep,Total,Higher Secondary,Male,65.2
Lakshadweep,Total,Post Higher Secondary,Male,0.7
Lakshadweep,Total,Primary,Male,98.5
Lakshadweep,Total,Primary To Higher Secondary,Male,93.0
Lakshadweep,Total,Primary & Upper Primary,Male,96.0
Lakshadweep,Total,Secondary,Male,91.5
Lakshadweep,Total,Secondary And Higher Secondary,Male,83.8
Lakshadweep,Total,Upper Primary,Male,92.1
Lakshadweep,Total,Higher Secondary,Person,97.4
Lakshadweep,Total,Post Higher Secondary,Person,1.5
Lakshadweep,Total,Primary,Person,101.3
Lakshadweep,Total,Primary To Higher Secondary,Person,96.9
Lakshadweep,Total,Primary & Upper Primary,Person,98.0
Lakshadweep,Total,Secondary,Person,92.0
Lakshadweep,Total,Secondary And Higher Secondary,Person,94.3
Lakshadweep,Total,Upper Primary,Person,92.5
Lakshadweep,Urban,Higher Secondary,Female,94.5
Lakshadweep,Urban,Post Higher Secondary,Female,4.3
Lakshadweep,Urban,Primary,Female,107.5
Lakshadweep,Urban,Primary To Higher Secondary,Female,101.2
Lakshadweep,Urban,Primary & Upper Primary,Female,100.8
Lakshadweep,Urban,Secondary,Female,109.8
Lakshadweep,Urban,Secondary And Higher Secondary,Female,101.4
Lakshadweep,Urban,Upper Primary,Female,86.1
Lakshadweep,Urban,Higher Secondary,Male,96.8
Lakshadweep,Urban,Post Higher Secondary,Male,1.0
Lakshadweep,Urban,Primary,Male,94.5
Lakshadweep,Urban,Primary To Higher Secondary,Male,96.5
Lakshadweep,Urban,Primary & Upper Primary,Male,92.2
Lakshadweep,Urban,Secondary,Male,123.1
Lakshadweep,Urban,Secondary And Higher Secondary,Male,119.7
Lakshadweep,Urban,Upper Primary,Male,89.2
Lakshadweep,Urban,Higher Secondary,Person,94.6
Lakshadweep,Urban,Post Higher Secondary,Person,2.4
Lakshadweep,Urban,Primary,Person,97.8
Lakshadweep,Urban,Primary To Higher Secondary,Person,98.4
Lakshadweep,Urban,Primary & Upper Primary,Person,94.2
Lakshadweep,Urban,Secondary,Person,115.0
Lakshadweep,Urban,Secondary And Higher Secondary,Person,106.0
Lakshadweep,Urban,Upper Primary,Person,88.7
Kerala,Rural,Higher Secondary,Female,115.4
Kerala,Rural,Post Higher Secondary,Female,41.3
Kerala,Rural,Primary,Female,101.3
Kerala,Rural,Primary To Higher Secondary,Female,101.2
Kerala,Rural,Primary & Upper Primary,Female,97.8
Kerala,Rural,Secondary,Female,100.9
Kerala,Rural,Secondary And Higher Secondary,Female,107.7
Kerala,Rural,Upper Primary,Female,92.8
Kerala,Rural,Higher Secondary,Male,101.7
Kerala,Rural,Post Higher Secondary,Male,38.6
Kerala,Rural,Primary,Male,101.4
Kerala,Rural,Primary To Higher Secondary,Male,99.2
Kerala,Rural,Primary & Upper Primary,Male,99.3
Kerala,Rural,Secondary,Male,97.0
Kerala,Rural,Secondary And Higher Secondary,Male,99.2
Kerala,Rural,Upper Primary,Male,96.7
Kerala,Rural,Higher Secondary,Person,107.2
Kerala,Rural,Post Higher Secondary,Person,40.0
Kerala,Rural,Primary,Person,101.3
Kerala,Rural,Primary To Higher Secondary,Person,100.1
Kerala,Rural,Primary & Upper Primary,Person,98.6
Kerala,Rural,Secondary,Person,98.5
Kerala,Rural,Secondary And Higher Secondary,Person,102.5
Kerala,Rural,Upper Primary,Person,95.0
Kerala,Total,Higher Secondary,Female,102.3
Kerala,Total,Post Higher Secondary,Female,42.9
Kerala,Total,Primary,Female,102.5
Kerala,Total,Primary To Higher Secondary,Female,100.2
Kerala,Total,Primary & Upper Primary,Female,100.2
Kerala,Total,Secondary,Female,97.7
